Time (s),X (m),Y (m),Velocity (m/s),Acceleration (g),Mass (kg),Thrust (N),Drag (custom),Comment
16.53,0,892.040220949,,-0.668068006121,1.4968536,,,Max Height
-,-,-,-,-
0.01,0,0.276941245289,27.6941245289,564.61008214,1.4968536,8281,-9.81,
0.02,0,0.903636801421,62.6695556132,148.446616825,1.4968536,2170,-9.80998598963,
0.03,0,1.65284333383,74.9206532412,101.320918915,1.4968536,1478,-9.80993171162,
0.04,0,2.49042256467,83.7579230835,78.8476813362,1.4968536,1148,-9.80990382247,
0.05,0,3.39870409348,90.8281528816,65.2956376863,1.4968536,949,-9.80988138723,
0.06,0,4.38009296369,98.138887021,83.750929886,1.4968536,1220,-9.80986166064,
0.07,0,5.42967887405,104.958591036,55.2848298489,1.4968536,802,-9.80983949621,
0.08,0,6.5067096747,107.703080064,0.668055540571,1.4968536,0,-9.80981695427,Burnout Reached
0.09,0,7.58374047573,107.703080103,-0.668054750069,1.4968536,0.0,-9.80980534643,
0.1,0,8.66011591505,107.637543932,-0.668054750069,1.4968536,0.0,-9.80980534643,
0.11,0,9.73583599266,107.57200776,-0.668054766196,1.4968536,0.0,-9.80980558324,
0.12,0,10.8109007085,107.506471587,-0.668054782314,1.4968536,0.0,-9.80980581992,
0.13,0,11.8853100626,107.440935412,-0.668054798422,1.4968536,0.0,-9.80980605645,
0.14,0,12.959064055,107.375399236,-0.66805481452,1.4968536,0.0,-9.80980629283,
0.15,0,14.0321626856,107.309863057,-0.668054830608,1.4968536,0.0,-9.80980652907,
0.16,0,15.1046059544,107.244326878,-0.668054846686,1.4968536,0.0,-9.80980676517,
0.17,0,16.1763938613,107.178790697,-0.668054862755,1.4968536,0.0,-9.80980700112,
0.18,0,17.2475264065,107.113254514,-0.668054878813,1.4968536,0.0,-9.80980723693,
0.19,0,18.3180035898,107.047718329,-0.668054894862,1.4968536,0.0,-9.80980747259,
0.2,0,19.3878254112,106.982182143,-0.668054910901,1.4968536,0.0,-9.80980770811,
0.21,0,20.4569918707,106.916645956,-0.668054926931,1.4968536,0.0,-9.80980794349,
0.22,0,21.5255029684,106.851109767,-0.66805494295,1.4968536,0.0,-9.80980817872,
0.23,0,22.5933587042,106.785573576,-0.66805495896,1.4968536,0.0,-9.80980841381,
0.24,0,23.660559078,106.720037384,-0.66805497496,1.4968536,0.0,-9.80980864875,
0.25,0,24.7271040899,106.65450119,-0.66805499095,1.4968536,0.0,-9.80980888355,
0.26,0,25.7929937399,106.588964995,-0.66805500693,1.4968536,0.0,-9.80980911821,
0.27,0,26.8582280278,106.523428798,-0.6680550229,1.4968536,0.0,-9.80980935272,
0.28,0,27.9228069538,106.457892599,-0.668055038861,1.4968536,0.0,-9.80980958708,
0.29,0,28.9867305178,106.392356399,-0.668055054811,1.4968536,0.0,-9.80980982131,
0.3,0,30.0499987198,106.326820197,-0.668055070752,1.4968536,0.0,-9.80981005538,
0.31,0,31.1126115597,106.261283994,-0.668055086683,1.4968536,0.0,-9.80981028932,
0.32,0,32.1745690376,106.195747789,-0.668055102605,1.4968536,0.0,-9.80981052311,
0.33,0,33.2358711534,106.130211583,-0.668055118516,1.4968536,0.0,-9.80981075675,
0.34,0,34.2965179072,106.064675375,-0.668055134418,1.4968536,0.0,-9.80981099026,
0.35,0,35.3565092989,105.999139166,-0.66805515031,1.4968536,0.0,-9.80981122361,
0.36,0,36.4158453284,105.933602955,-0.668055166192,1.4968536,0.0,-9.80981145683,
0.37,0,37.4745259958,105.868066742,-0.668055182064,1.4968536,0.0,-9.8098116899,
0.38,0,38.5325513011,105.802530528,-0.668055197926,1.4968536,0.0,-9.80981192282,
0.39,0,39.5899212442,105.736994312,-0.668055213779,1.4968536,0.0,-9.8098121556,
0.4,0,40.6466358252,105.671458095,-0.668055229622,1.4968536,0.0,-9.80981238824,
0.41,0,41.7026950439,105.605921876,-0.668055245454,1.4968536,0.0,-9.80981262073,
0.42,0,42.7580989005,105.540385656,-0.668055261278,1.4968536,0.0,-9.80981285308,
0.43,0,43.8128473948,105.474849434,-0.668055277091,1.4968536,0.0,-9.80981308529,
0.44,0,44.8669405269,105.40931321,-0.668055292894,1.4968536,0.0,-9.80981331735,
0.45,0,45.9203782968,105.343776985,-0.668055308688,1.4968536,0.0,-9.80981354927,
0.46,0,46.9731607044,105.278240759,-0.668055324472,1.4968536,0.0,-9.80981378104,
0.47,0,48.0252877497,105.212704532,-0.668055304635,1.4968536,0.0,-9.80981348975,
0.48,0,49.0767594328,105.147168306,-0.668055320444,1.4968536,0.0,-9.80981372189,
0.49,0,50.1275757535,105.081632079,-0.668055336243,1.4968536,0.0,-9.80981395388,
0.5,0,51.177736712,105.016095849,-0.668055352031,1.4968536,0.0,-9.80981418573,
0.51,0,52.2272423082,104.950559619,-0.66805536781,1.4968536,0.0,-9.80981441743,
0.52,0,53.2760925421,104.885023386,-0.66805538358,1.4968536,0.0,-9.80981464898,
0.53,0,54.3242874136,104.819487152,-0.668055399339,1.4968536,0.0,-9.80981488039,
0.54,0,55.3718269228,104.753950917,-0.668055415088,1.4968536,0.0,-9.80981511166,
0.55,0,56.4187110696,104.68841468,-0.668055430828,1.4968536,0.0,-9.80981534279,
0.56,0,57.464939854,104.622878441,-0.668055446558,1.4968536,0.0,-9.80981557376,
0.57,0,58.510513276,104.557342201,-0.668055462278,1.4968536,0.0,-9.8098158046,
0.58,0,59.5554313356,104.49180596,-0.668055477988,1.4968536,0.0,-9.80981603529,
0.59,0,60.5996940328,104.426269716,-0.668055493688,1.4968536,0.0,-9.80981626583,
